Optimizer Name,adder_8,barenco_tof_3,barenco_tof_4,barenco_tof_5,barenco_tof_10,csla_mux_3,gf2^4_mult,gf2^5_mult,gf2^6_mult,gf2^7_mult,gf2^8_mult,gf2^9_mult,gf2^10_mult,mod5_4,mod_mult_55,mod_red_21,qcla_adder_10,qcla_com_7,qcla_mod_7,rc_adder_6,tof_3,tof_4,tof_5,tof_10,vbe_adder_3,,
initial,900,58,114,170,450,170,225,347,495,669,883,1095,1347,63,119,278,521,443,884,200,45,75,105,255,150,,
qualm_1,547,38,72,104,258,149,179,273,380,512,657,821,1019,29,91,182,391,265,628,155,35,55,75,175,77,,
qualm_5,542,40,72,100,258,147,174,266,370,500,679,852,1052,34,87,186,393,265,631,152,35,55,75,175,77,,
qualm_50,569,40,76,108,256,149,169,270,378,523,699,874,1058,28,93,184,394,265,624,151,33,55,75,175,81,,
qualm_100,599,38,72,112,261,146,173,272,385,526,880,1093,1347,29,92,181,397,263,636,148,35,51,75,175,83,,
qualm_0,898,48,96,148,440,148,203,324,476,660,880,1093,1347,44,103,213,502,403,879,178,35,55,79,191,114,,
voqc,596,40,72,104,264,158,186,287,401,543,706,879,1065,51,92,184,416,269,678,152,35,55,75,175,89,,
qiskit,1023,54,106,158,418,246,212,327,464,627,819,1023,1248,61,115,256,623,492,936,269,43,71,99,239,191,,
guoq,589,40,71,100,252,146,174,265,372,502,672,833,1029,29,101,200,396,281,630,176,35,55,76,175,82,,
queso,647,38,68,98,248,149,195,298,427,602,814,997,1227,33,98,205,454,331,791,176,35,55,75,175,83,,
Percent of original:,0.607777777777778,0.655172413793103,0.631578947368421,0.611764705882353,0.573333333333333,0.876470588235294,0.795555555555556,0.786743515850144,0.767676767676768,0.765321375186846,0.7440543601359,0.749771689497717,0.756495916852264,0.46031746031746,0.764705882352941,0.654676258992806,0.750479846449136,0.598194130925508,0.710407239819005,0.775,0.777777777777778,0.733333333333333,0.714285714285714,0.686274509803922,0.513333333333333,qualm_1,0.698420097381457
,0.602222222222222,0.689655172413793,0.631578947368421,0.588235294117647,0.573333333333333,0.864705882352941,0.773333333333333,0.76657060518732,0.747474747474748,0.747384155455904,0.768969422423556,0.778082191780822,0.780994803266518,0.53968253968254,0.73109243697479,0.669064748201439,0.754318618042226,0.598194130925508,0.713800904977376,0.76,0.777777777777778,0.733333333333333,0.714285714285714,0.686274509803922,0.513333333333333,qualm_5,0.700147926322741
,0.632222222222222,0.689655172413793,0.666666666666667,0.635294117647059,0.568888888888889,0.876470588235294,0.751111111111111,0.778097982708934,0.763636363636364,0.781763826606876,0.791619479048698,0.798173515981735,0.785449146250928,0.444444444444444,0.781512605042017,0.661870503597122,0.756238003838772,0.598194130925508,0.705882352941177,0.755,0.733333333333333,0.733333333333333,0.714285714285714,0.686274509803922,0.54,qualm_50,0.705176720518556
,0.665555555555556,0.655172413793103,0.631578947368421,0.658823529411765,0.58,0.858823529411765,0.768888888888889,0.783861671469741,0.777777777777778,0.786248131539611,0.996602491506229,0.998173515981735,1,0.46031746031746,0.773109243697479,0.651079136690647,0.761996161228407,0.593679458239278,0.719457013574661,0.74,0.777777777777778,0.68,0.714285714285714,0.686274509803922,0.553333333333333,qualm_100,0.730912650466131
,0.997777777777778,0.827586206896552,0.842105263157895,0.870588235294118,0.977777777777778,0.870588235294118,0.902222222222222,0.93371757925072,0.961616161616162,0.986547085201794,0.996602491506229,0.998173515981735,1,0.698412698412698,0.865546218487395,0.766187050359712,0.963531669865643,0.909706546275395,0.994343891402715,0.89,0.777777777777778,0.733333333333333,0.752380952380952,0.749019607843137,0.76,qualm_0,0.881021691924634
,0.662222222222222,0.689655172413793,0.631578947368421,0.611764705882353,0.586666666666667,0.929411764705882,0.826666666666667,0.827089337175793,0.81010101010101,0.811659192825112,0.799546998867497,0.802739726027397,0.79064587973274,0.80952380952381,0.773109243697479,0.661870503597122,0.798464491362764,0.607223476297968,0.766968325791855,0.76,0.777777777777778,0.733333333333333,0.714285714285714,0.686274509803922,0.593333333333333,voqc,0.738476512378425
,1.13666666666667,0.931034482758621,0.929824561403509,0.929411764705882,0.928888888888889,1.44705882352941,0.942222222222222,0.942363112391931,0.937373737373737,0.937219730941704,0.927519818799547,0.934246575342466,0.926503340757238,0.968253968253968,0.966386554621849,0.920863309352518,1.1957773512476,1.11060948081264,1.05882352941176,1.345,0.955555555555556,0.946666666666667,0.942857142857143,0.937254901960784,1.27333333333333,qiskit,1.01886862079423
,0.654444444444445,0.689655172413793,0.62280701754386,0.588235294117647,0.56,0.858823529411765,0.773333333333333,0.763688760806916,0.751515151515152,0.750373692077728,0.761041902604757,0.760730593607306,0.763919821826281,0.46031746031746,0.848739495798319,0.719424460431655,0.760076775431862,0.63431151241535,0.712669683257919,0.88,0.777777777777778,0.733333333333333,0.723809523809524,0.686274509803922,0.546666666666667,guoq,0.711278796509871
,0.718888888888889,0.655172413793103,0.596491228070175,0.576470588235294,0.551111111111111,0.876470588235294,0.866666666666667,0.858789625360231,0.862626262626263,0.899850523168909,0.921857304643262,0.910502283105023,0.910913140311804,0.523809523809524,0.823529411764706,0.737410071942446,0.871401151631478,0.747178329571106,0.894796380090498,0.88,0.777777777777778,0.733333333333333,0.714285714285714,0.686274509803922,0.553333333333333,queso,0.765957606462395
